,City,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
100,Lüderitz,73.4,56,0,19.46,-26.65,15.16
101,Lebu,67.98,40,0,10.67,-37.62,-73.65
102,Ugoofaaru,83.64,75,3,9.66,5.67,73.0
103,Iqaluit,-11.9,62,75,3.65,63.75,-68.51
104,Ilulissat,-5.8,39,20,10.29,69.22,-51.1
105,Bethel,48.81,20,1,11.41,41.37,-73.41
106,Port Elizabeth,64.4,93,75,4.7,-33.92,25.57
107,Geraldton,67.24,82,72,3.36,-28.77,114.6
108,Shimoda,38.95,65,66,1.99,34.67,138.95
109,Zhigansk,0.12,92,100,26.78,66.77,123.37
110,Salalah,77.0,65,20,8.05,17.02,54.09
111,Qaqortoq,28.4,50,100,9.17,60.72,-46.03
112,Guerrero Negro,64.2,61,0,14.07,27.98,-114.06
113,Hasaki,34.92,100,20,4.7,35.73,140.83
114,Çumra,55.4,54,75,9.17,37.57,32.77
115,Dongsheng,37.74,29,83,14.03,39.82,109.98
116,Chernyshevskiy,28.92,95,100,8.57,63.01,112.47
117,Norman Wells,17.6,61,75,17.22,65.28,-126.83
118,Touros,84.2,79,40,9.17,-5.2,-35.46
119,Zaria,80.22,8,4,8.23,11.11,7.72
120,São Mateus do Sul,93.18,21,13,2.35,-25.87,-50.38
121,Saint-Joseph,73.92,78,100,12.75,-21.37,55.62
122,Cabo San Lucas,73.67,60,75,3.36,22.89,-109.91
123,Kurumkan,19.92,88,69,2.42,54.3,110.3
124,Ariquemes,82.56,92,97,3.65,-9.91,-63.04
125,Khatanga,-16.26,90,100,8.81,71.97,102.5
126,Sibolga,72.12,94,100,3.76,1.74,98.78
127,Olafsvik,36.12,67,100,26.6,64.89,-23.71
128,Nyurba,29.46,95,100,6.6,63.28,118.33
129,Hithadhoo,84.18,57,34,3.85,-0.6,73.08
130,Saint George,56.28,50,75,10.29,37.1,-113.58
131,Sioux Lookout,20.8,52,90,3.36,50.1,-91.92
132,Poum,82.74,78,100,23.26,-20.23,164.02
133,Shiraz,53.35,58,25,4.41,29.6,52.54
134,Pyn U Lwin,71.76,25,99,4.34,22.03,96.47
135,Ponta do Sol,61.2,67,40,19.46,32.67,-17.1
136,Sitka,30.61,60,20,3.15,57.05,-135.33
137,Havelock,50.59,87,90,13.87,34.88,-76.9
138,Kahului,68.47,88,20,10.96,20.89,-156.47
139,Atambua,73.2,81,100,3.74,-9.11,124.89
140,Bodden Town,82.08,70,20,16.11,19.28,-81.25
141,Vangaindrano,72.66,95,88,1.48,-23.35,47.6
142,Cidreira,76.44,83,90,17.85,-30.18,-50.21
143,San Isidro,80.6,65,40,6.93,-12.12,-77.05
144,Tianpeng,56.35,81,40,6.71,30.99,103.94
145,Rapid Valley,36.73,80,75,13.87,44.06,-103.15
146,Jamestown,39.38,44,1,16.11,42.1,-79.24
147,Ha Giang,60.6,92,100,2.19,22.83,104.98
148,Longyearbyen,-9.4,69,40,4.7,78.22,15.64
149,Thompson,12.2,51,20,17.22,55.74,-97.86
150,Comodoro Rivadavia,77.0,36,0,12.75,-45.87,-67.5
151,Vieux-Habitants,80.6,74,0,6.93,16.06,-61.77
152,Saldanha,71.6,53,83,17.22,-33.01,17.94
153,Mar del Plata,64.45,63,75,11.41,-38.0,-57.56
154,Apam,83.28,75,67,12.55,5.28,-0.74
155,Karratha,83.82,81,7,17.78,-20.74,116.85
156,Darhan,24.78,77,33,7.52,49.49,105.92
157,Rawson,65.64,51,17,15.5,-43.3,-65.1
158,Acarí,74.64,69,95,10.63,-15.43,-74.62
159,Helong,8.22,90,2,5.77,42.54,129.0
160,Togur,32.52,97,99,9.71,58.36,82.83
161,La Reforma,75.2,53,90,4.7,25.08,-108.05
162,Torbay,29.71,79,90,25.28,47.67,-52.73
163,Kupang,81.66,79,61,8.48,-10.17,123.58
164,Naze,60.8,55,0,19.46,28.37,129.48
165,Ayan,-8.16,72,0,4.97,56.45,138.17
166,Avera,67.44,60,1,8.05,33.19,-82.53
167,Marsá Maţrūḩ,60.8,82,0,8.05,31.35,27.25
168,Hobart,49.23,71,90,4.65,-42.88,147.33
169,Hilo,65.95,78,90,3.36,19.73,-155.09
170,Gizo Government Station,78.06,84,100,2.51,-8.1,156.84
171,Pangody,-2.22,88,100,7.94,65.85,74.49
172,Ürümqi,41.0,52,0,6.71,43.8,87.6
173,Presidente Bernardes,95.0,30,2,5.82,-22.01,-51.55
174,Kargopol',20.46,83,0,8.34,61.51,38.95
175,Nuuk,5.0,60,20,21.92,64.18,-51.72
176,Chimoré,102.0,33,41,1.7,-16.98,-65.13
177,Linhares,84.18,66,29,7.63,-19.39,-40.07
178,Bengkulu,75.36,88,93,3.31,-3.8,102.27
179,New Norfolk,49.1,71,90,1.25,-42.78,147.06
180,Pacific Grove,51.55,76,90,4.7,36.62,-121.92
181,Constitución,66.54,47,0,11.92,-35.33,-72.42
182,Lima,80.6,65,40,6.93,-12.04,-77.03
183,São Filipe,72.84,69,0,20.51,14.9,-24.5
184,Kaeo,57.97,93,100,1.99,-35.1,173.78
185,Saint-Pierre,74.01,78,100,12.75,-21.34,55.48
186,Sisophon,79.32,75,77,3.96,13.59,102.97
187,Trimbak,75.36,23,75,6.24,19.93,73.55
188,Samarkand,62.6,39,100,9.17,39.65,66.96
189,Nome,24.96,97,100,5.75,64.5,-165.41
190,Chokurdakh,-22.2,71,0,4.07,70.63,147.92
191,Rio Branco,84.2,83,40,3.36,-9.97,-67.81
192,Almora,45.3,81,0,2.66,29.62,79.67
193,Marystown,32.7,74,75,16.69,47.17,-55.15
194,Dabat,63.3,35,100,10.6,12.98,37.77
195,Severo-Kuril'sk,30.72,98,100,12.82,50.68,156.12
196,Ust-Tsilma,15.24,89,75,7.72,65.44,52.15
197,Del Pilar,79.03,78,75,6.93,15.03,120.7
198,San Luis,81.48,32,52,13.98,-33.3,-66.34
199,Suşehri,38.1,96,98,8.05,40.16,38.09
200,Bogoslovka,32.0,60,99,11.9,53.21,44.8
201,Sinnamary,80.58,72,83,11.39,5.38,-52.95
202,Kununurra,71.6,88,0,5.66,-15.77,128.73
203,Mongoumba,84.36,25,12,3.22,3.64,18.59
204,Kumul,38.46,25,18,2.59,42.8,93.45
205,Forssa,37.08,78,90,20.8,60.81,23.62
206,Robertsport,83.1,82,100,13.27,6.75,-11.37
207,Ghanzi,81.12,35,38,4.12,-21.57,21.78
208,Sirmaur,71.04,44,82,3.47,24.85,81.38
209,Isabela,72.84,85,33,3.13,6.71,121.97
210,Ponta Delgada,62.6,63,20,8.05,37.73,-25.67
211,Quatre Cocos,77.25,83,75,1.12,-20.21,57.76
212,Meulaboh,85.08,70,60,0.76,4.14,96.13
213,Codrington,58.62,78,0,14.36,-38.27,141.97
214,Mariehamn,39.2,80,75,28.86,60.1,19.93
215,Gao,89.22,9,25,6.17,16.64,1.64
216,Molėtai,31.41,50,0,8.05,55.23,25.42
217,Tcholliré,85.26,11,38,1.68,8.4,14.17
218,Beaupré,24.82,38,20,5.82,47.04,-70.9
219,East London,68.0,82,40,9.17,-33.02,27.91
220,Hofn,28.4,74,75,5.82,64.25,-15.21
221,Sijunjung,71.58,94,21,1.34,-0.69,100.95
222,Airai,66.0,79,82,3.04,-8.93,125.41
223,Ndjolé,77.16,92,65,3.89,-0.18,10.76
224,Civitavecchia,54.45,71,0,4.7,42.09,11.8
225,Aykhal,23.0,73,100,8.95,66.0,111.5
226,Puerto Baquerizo Moreno,86.0,70,20,10.29,-0.9,-89.6
227,Cockburn Town,78.8,61,40,13.87,21.46,-71.14
228,Iskateley,13.8,87,100,18.45,67.68,53.15
229,Caravelas,80.94,75,100,7.54,-17.71,-39.25
230,Nago,60.8,55,20,14.99,26.59,127.98
231,Aksay,31.12,46,97,8.95,47.26,39.87
232,Puerto Ayora,82.94,74,20,9.17,-0.74,-90.35
233,Mersing,82.4,83,76,9.17,2.43,103.84
234,Bagé,75.2,78,90,10.29,-31.33,-54.11
235,Guymon,38.77,100,90,14.99,36.68,-101.48
236,Tres Arroyos,74.28,25,0,10.27,-38.37,-60.28
237,Maple Creek,8.76,89,100,9.1,49.92,-109.48
238,Port Hueneme,55.36,63,90,7.65,34.15,-119.2
239,Carnarvon,78.8,83,75,12.75,-24.87,113.63
240,Campeche,94.62,28,5,5.23,19.0,-90.5
241,Porosozero,28.92,78,78,14.72,62.72,32.73
242,Leningradskiy,14.7,70,98,12.35,69.38,178.42
243,Vagay,32.7,97,100,12.53,57.94,69.02
244,Faya,61.66,77,20,6.93,18.39,42.45
245,San Andrés,86.0,66,20,14.99,12.58,-81.7
246,Port Blair,82.74,73,16,11.61,11.67,92.75
247,Rio Grande,78.91,69,90,9.17,-32.03,-52.1
248,Mbaïki,82.74,23,14,2.21,3.87,17.99
249,Bilibino,-8.52,97,60,3.42,68.05,166.44
250,Abu Dhabi,79.45,24,15,3.36,24.47,54.37
251,Port Lincoln,63.48,76,25,12.68,-34.73,135.87
252,Waingapu,83.64,75,88,3.98,-9.66,120.26
253,Berlin,47.23,31,99,10.29,52.52,13.41
254,San Vicente,95.88,22,17,4.05,-26.62,-54.13
255,Were Īlu,58.98,85,32,5.77,10.6,39.43
256,Fortuna,45.73,75,20,12.75,40.6,-124.16
257,Port Macquarie,60.94,100,47,5.82,-31.43,152.92
258,Beringovskiy,20.46,93,0,7.58,63.05,179.32
259,Iracoubo,80.58,72,83,11.39,5.48,-53.2
260,Dikson,-6.72,98,100,3.13,73.51,80.55
261,Beloha,72.48,87,18,12.62,-25.17,45.05
262,Palu,66.9,94,60,2.21,-0.89,119.87
263,Agadez,71.94,10,0,4.65,19.75,10.25
264,Farakka,71.76,60,100,4.81,24.82,87.9
265,Mahébourg,77.43,83,75,1.12,-20.41,57.7
266,Portland,39.51,48,1,16.11,45.52,-122.68
267,Taoudenni,89.94,4,0,10.02,22.68,-3.98
268,Laguna,48.54,93,90,12.75,38.42,-121.42
269,Stolin,30.18,53,0,5.53,51.89,26.85
270,Menzelinsk,33.8,86,90,8.95,55.73,53.1
271,Katsuura,41.99,75,99,6.93,35.13,140.3
272,Coquimbo,64.4,77,90,10.29,-29.95,-71.34
273,Rūdbār,71.76,18,52,13.31,30.15,62.6
274,Manta,84.2,79,40,4.7,-0.95,-80.73
275,Shenjiamen,54.3,73,86,11.32,29.96,122.3
276,Atbasar,34.32,96,100,11.32,51.8,68.33
277,San Policarpo,76.98,77,21,8.7,12.18,125.51
278,Provideniya,25.68,98,100,5.23,64.38,-173.3
279,Calama,73.4,25,0,19.46,-22.47,-68.93
280,Esperance,69.8,77,27,6.93,-33.87,121.9
281,Avarua,80.6,94,77,1.12,-21.21,-159.78
282,Safi,59.88,71,99,7.9,32.3,-9.24
283,Sabha,69.78,14,0,4.65,27.04,14.43
284,Kisangani,74.1,88,99,0.87,0.52,25.2
285,Vardø,20.46,79,94,27.51,70.37,31.11
286,Egvekinot,8.22,99,99,6.24,66.32,-179.17
287,Torbat-e Jām,61.32,41,100,8.79,35.24,60.62
288,Alofi,75.2,94,100,1.12,-19.06,-169.92
289,Nishihara,60.31,55,20,14.99,26.18,127.76
290,Nemuro,28.2,62,0,10.07,43.32,145.57
291,Trancoso,73.4,33,5,11.41,22.73,-102.37
292,Vokhtoga,22.08,83,65,4.27,58.81,41.05
293,Pisco,72.81,30,77,9.17,-13.7,-76.22
294,Trairi,80.04,89,70,5.77,-3.28,-39.27
295,Qujing,53.58,48,37,7.25,25.48,103.78
296,Ossipee,39.67,24,1,10.29,43.69,-71.12
297,Allāpalli,82.2,35,50,3.87,19.42,80.07
298,Cabuyaro,94.8,42,86,4.68,4.28,-72.79
299,Tenkodogo,98.22,12,88,8.66,11.78,-0.37
300,Progreso,90.39,41,75,11.41,21.28,-89.67
301,Cedar City,50.16,83,1,21.92,37.68,-113.06
302,Vostok,4.8,96,85,4.12,46.49,135.88
303,Lira,80.76,49,95,3.22,2.23,32.91
304,Békéssámson,40.03,52,0,4.7,46.42,20.63
305,Mumbwa,68.16,94,18,4.18,-14.98,27.06
306,Pilar,80.6,88,90,4.7,-9.6,-35.96
307,Lagunas,96.96,44,96,2.13,-5.23,-75.68
308,Kathua,55.92,72,0,3.38,32.37,75.52
309,San Blas,80.6,44,5,6.62,21.52,-105.27
310,Orange Cove,59.05,51,70,6.11,36.62,-119.31
311,Harper,80.4,84,100,4.81,4.38,-7.72
312,Rundu,73.4,94,100,2.24,-17.93,19.77
313,Tasiilaq,8.6,39,100,21.92,65.61,-37.64
314,Shelby,47.44,76,90,13.87,35.2,-89.87
315,Bukavu,62.4,93,39,0.2,-2.51,28.86
316,Thinadhoo,84.18,56,2,2.01,0.53,72.93
317,Cairns,68.79,94,40,7.85,-16.92,145.77
318,Laas,35.69,74,20,12.75,46.62,10.7
319,Hong Kong,66.4,72,20,10.29,22.29,114.16
320,Guarapari,85.69,58,20,10.29,-20.67,-40.5
321,Kolokani,97.86,7,71,3.11,13.57,-8.03
322,Omboué,78.6,90,95,3.29,-1.57,9.26
323,Luga,30.54,68,3,8.55,58.74,29.85
324,São Félix do Xingu,72.3,98,100,2.75,-6.64,-51.99
325,Amos,12.4,66,5,6.93,48.57,-78.12
326,Vågåmo,27.3,97,75,5.66,61.88,9.1
327,Petropavlovsk-Kamchatskiy,35.6,93,90,26.84,53.05,158.65
328,Mahibadhoo,83.46,70,5,8.77,3.78,72.97
329,Alice Springs,64.4,39,0,4.7,-23.7,133.88
330,Kawalu,71.04,95,98,2.51,-7.38,108.21
331,Aden,77.88,68,18,7.36,12.78,45.04
332,Tibacuy,97.5,33,83,9.4,4.35,-72.46
333,Sorong,71.22,98,96,1.66,-0.88,131.25
334,Sayyan,60.6,57,51,1.21,15.17,44.32
335,Standerton,72.0,50,5,5.03,-26.93,29.24
336,Anadyr,26.6,79,40,13.42,64.75,177.48
337,Belyy Yar,39.2,90,100,8.95,53.6,91.39
338,Ostrovnoy,25.5,89,100,24.23,68.05,39.51
339,Warmbad,81.3,19,0,10.4,-28.45,18.73
340,Segezha,28.38,79,19,16.78,63.74,34.32
341,Bobcaygeon,35.04,45,1,11.41,44.55,-78.54
342,Porto Santo,62.6,67,40,17.22,33.07,-16.34
343,Atasū,38.1,72,100,9.4,48.68,71.64
344,Rusape,65.28,70,13,4.76,-18.53,32.13
345,Nanortalik,24.78,73,100,15.64,60.14,-45.24
346,Dingle,71.4,86,18,9.31,11.0,122.67
347,Kavieng,84.54,70,100,7.74,-2.57,150.8
348,Cherskiy,-2.22,97,98,4.79,68.75,161.3
349,Carutapera,78.06,83,100,6.69,-1.2,-46.02
350,Sabang,84.18,79,100,13.98,5.89,95.32
351,Betsiamites,23.07,38,20,10.29,48.94,-68.65
352,Zaraza,92.64,36,84,12.62,9.35,-65.32
353,Vila Franca do Campo,62.6,63,20,8.05,37.72,-25.43
354,Shirgaon,81.12,60,30,10.94,19.7,72.7
355,Hauterive,57.13,50,48,27.51,46.09,3.45
356,Lashio,67.44,46,62,1.48,22.93,97.75
357,Adrar,85.8,8,0,9.53,20.5,-10.07
358,Talnakh,-14.8,75,22,8.95,69.49,88.4
359,Shumskiy,29.64,85,50,8.03,54.83,99.13
360,Muroto-misakicho,37.02,76,47,10.33,33.28,134.15
361,Mumbai,84.2,37,35,3.36,19.01,72.85
362,Bonfim,95.7,36,97,5.61,3.08,-59.95
363,Kismayo,82.92,80,58,13.51,-0.36,42.55
364,Sena Madureira,87.6,68,100,2.26,-9.07,-68.66
365,Shingū,46.2,69,42,22.12,33.73,135.98
366,Antofagasta,71.82,60,20,12.75,-23.65,-70.4
367,San Ramon,50.02,81,90,10.29,37.78,-121.98
368,Outjo,73.4,69,41,3.36,-20.12,16.15
369,La Ronge,12.2,66,20,8.05,55.1,-105.28
370,Bud,40.95,64,20,5.82,39.45,-86.18
371,Monforte de Lemos,38.7,94,83,3.0,42.52,-7.51
372,Lensk,30.0,93,100,9.51,60.73,114.93
373,Bambous Virieux,77.38,83,75,1.12,-20.34,57.76
374,Husavik,28.4,68,40,40.26,66.04,-17.34
375,Manacapuru,86.0,74,40,3.36,-3.3,-60.62
376,Beatrice,32.76,77,90,8.05,40.27,-96.75
377,Asău,31.1,46,0,4.7,46.43,26.4
378,Sur,69.42,69,99,8.3,22.57,59.53
379,Grindavik,36.32,74,75,26.4,63.84,-22.43
380,Tomatlán,91.02,39,74,5.59,19.93,-105.25
381,San Cristobal,80.6,61,75,9.17,7.77,-72.22
382,Half Moon Bay,50.07,71,75,8.05,37.46,-122.43
383,Antalaha,82.56,75,100,20.54,-14.9,50.28
384,Lerwick,38.3,60,40,14.99,60.15,-1.15
385,Minot,25.12,85,90,12.75,48.23,-101.3
386,Rock Sound,72.84,75,1,12.24,24.9,-76.2
387,Soller,61.3,63,0,8.05,39.77,2.72
388,Boddam,41.76,87,75,19.46,57.47,-1.78
389,Aitape,81.66,75,100,11.05,-3.14,142.35
390,Dhidhdhoo,84.0,72,2,5.84,6.88,73.1
391,Kavaratti,83.1,69,1,7.18,10.57,72.64
392,Hwange,74.82,63,71,1.52,-18.37,26.5
393,Esil,31.26,93,95,9.26,51.96,66.4
394,Alta Floresta,87.8,62,75,2.24,-9.88,-56.09
395,Broome,40.69,25,1,16.11,42.25,-75.83
396,Wanxian,56.82,69,100,2.64,30.8,108.39
397,Kruisfontein,60.96,90,100,6.53,-34.0,24.73
398,Teya,27.84,90,75,8.01,60.38,92.63
399,Bianzhuang,41.52,67,97,7.47,34.85,118.04
400,Alugan,76.98,77,21,8.7,12.22,125.48
401,Raymondville,81.19,51,75,12.75,26.48,-97.78
402,Bathsheba,84.2,70,75,13.87,13.22,-59.52
403,Baruun-Urt,21.9,85,33,12.95,46.68,113.28
404,Florence,52.81,74,0,6.93,43.77,11.25
405,Muros,46.71,87,40,2.24,42.78,-9.06
406,Esso,7.14,96,100,6.96,55.93,158.7
407,Kungurtug,18.12,77,99,5.37,50.6,97.52
408,Acapulco de Juárez,86.0,66,75,8.05,16.86,-99.89
409,Tubmanburg,86.34,63,100,6.85,6.87,-10.82
410,Nha Trang,80.6,88,20,9.17,12.25,109.18
411,Belaya Gora,-26.34,96,0,1.7,68.53,146.42
412,Vila Velha,85.68,58,20,10.29,-20.33,-40.29
413,Clocolan,61.68,41,0,3.24,-28.91,27.57
414,Bam,69.96,25,15,7.52,29.11,58.36
415,Waipawa,60.01,82,50,20.8,-41.41,175.52
416,Tiksi,3.0,87,99,18.37,71.69,128.87
417,Nantucket,42.91,41,20,10.29,41.28,-70.1
418,Mahon,57.2,71,0,9.17,39.89,4.27
419,Tuatapere,54.0,91,95,11.01,-46.13,167.68
420,Shebunino,15.96,91,18,5.26,46.43,141.86
421,Chute-aux-Outardes,23.29,38,20,10.29,49.12,-68.4
422,Long Xuyen,78.8,88,20,4.7,10.38,105.42
423,Hereford,44.8,81,40,5.82,52.06,-2.71
424,Cap Malheureux,77.05,83,75,1.12,-19.98,57.61
425,Osias,68.16,89,28,2.98,7.6,124.82
426,Kuchāman,63.48,43,68,6.73,27.15,74.85
427,Waitati,52.99,89,94,15.68,-45.75,170.57
428,Santa Vitória do Palmar,73.2,56,100,10.65,-33.52,-53.37
429,Bairiki Village,82.4,83,20,11.41,1.33,172.98
430,Weligama,75.9,90,1,6.15,5.97,80.42
431,Umluj,70.14,55,0,7.9,25.02,37.27
432,Kalmunai,82.38,79,22,12.57,7.42,81.82
433,Chapais,6.8,55,1,11.41,49.78,-74.85
434,Arlit,82.02,9,0,7.61,18.74,7.39
435,Gura Văii,31.1,46,0,4.7,46.33,26.73
436,Port Hardy,35.6,43,5,14.99,50.7,-127.42
437,Margate,51.26,76,40,12.75,51.38,1.39
438,Marzuq,67.62,74,32,5.01,14.4,46.47
439,Córdoba,59.86,100,75,4.7,-31.41,-64.18
440,Santa Rosalía,66.9,33,48,2.37,27.32,-112.28
441,Fairbanks,24.55,85,90,3.36,64.84,-147.72
442,Batemans Bay,58.6,76,86,1.01,-35.72,150.18
443,Saint-Louis,96.8,12,0,4.7,16.33,-15.0
444,Qixingtai,55.99,79,76,3.38,30.41,111.89
445,Taksimo,12.36,96,100,0.2,56.34,114.88
446,Kirakira,76.62,92,100,8.23,-10.45,161.92
447,Kamen'-Rybolov,15.96,83,43,4.05,44.75,132.04
448,Concepción del Uruguay,69.01,83,100,4.0,-32.48,-58.24
449,Kovdor,23.7,97,94,3.18,67.57,30.48
450,Souillac,77.41,83,75,1.12,-20.52,57.52
451,North Bend,43.34,61,1,4.7,43.41,-124.22
452,Lichuan,46.02,78,98,3.87,30.3,108.85
453,Necochea,67.57,63,0,7.0,-38.55,-58.74
454,Smidovich,8.22,83,38,8.01,48.6,133.82
455,Picota,62.6,100,40,4.7,-6.92,-76.33
456,Dudinka,-14.8,75,15,8.95,69.41,86.18
457,Kiryat Gat,60.22,82,66,4.7,31.61,34.76
458,Miandrivazo,79.14,80,90,1.92,-19.52,45.47
459,San Lazaro,85.26,66,40,11.41,18.04,-88.66
460,Bonthe,84.72,62,100,11.99,7.53,-12.51
461,Sanguéya,85.08,46,95,10.65,10.7,-14.37
462,Muzhi,-3.12,99,74,3.53,65.37,64.67
463,Maunabo,81.14,61,40,10.29,18.01,-65.9
464,Maniitsoq,5.34,61,0,16.53,65.42,-52.9
465,Bubaque,81.84,63,100,18.28,11.28,-15.83
466,Tura,66.72,69,52,2.21,25.52,90.22
467,Kassala,76.44,24,94,10.25,15.45,36.4
468,Xining,25.86,83,99,5.5,36.62,101.77
469,Bulungu,79.86,71,36,0.36,-4.55,18.6
470,Nabire,71.22,99,99,2.28,-3.37,135.48
471,Malaṅgawā,68.52,51,18,4.07,26.86,85.56
472,Saraland,80.92,44,75,5.82,30.82,-88.07
473,Tilichiki,8.76,94,98,7.27,60.47,166.1
474,Arrondissement de Gap,48.99,62,30,4.0,44.67,6.0
