,City,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
33,Codrington,63.41,60,81,12.95,-38.27,141.97
34,Hobart,49.69,81,94,4.7,-42.88,147.33
35,Punta Arenas,54.72,54,75,25.28,-53.15,-70.92
36,Torbay,25.41,57,20,10.29,47.67,-52.73
37,Vaini,80.6,94,75,12.75,-21.2,-175.2
38,Vao,78.35,75,0,14.9,-22.67,167.48
39,Mae Hong Son,72.23,29,0,1.25,19.3,97.97
40,Gravdal,35.6,59,75,18.34,68.12,13.5
41,Hithadhoo,84.29,64,3,8.59,-0.6,73.08
42,Jamestown,39.67,31,55,13.87,42.1,-79.24
43,Brae,39.99,86,75,29.97,60.4,-1.35
44,Marovoay,86.0,74,20,5.82,-16.1,46.63
45,Tuktoyaktuk,-0.4,84,90,19.46,69.45,-133.04
46,Omboué,87.89,60,100,9.48,-1.57,9.26
47,Narsaq,17.6,48,75,9.17,60.92,-46.05
48,Ambanja,82.4,79,75,4.7,-13.68,48.45
49,Bluff,44.01,89,100,1.01,-46.6,168.33
50,Qaanaaq,3.29,45,18,10.11,77.48,-69.36
51,Thompson,12.2,78,75,11.41,55.74,-97.86
52,Cape Town,80.87,35,0,14.99,-33.93,18.42
53,Chokurdakh,-16.33,86,0,5.28,70.63,147.92
54,Daloa,97.25,36,80,1.66,6.88,-6.45
55,Barrow,12.2,85,90,17.22,71.29,-156.79
56,Forbes,60.01,64,0,8.05,-33.38,148.02
57,Port Elizabeth,69.8,73,20,16.11,-33.92,25.57
58,Ahipara,65.21,73,100,18.68,-35.17,173.17
59,Coyhaique,61.52,72,75,3.36,-45.58,-72.07
60,Dzaoudzi,86.0,70,25,11.41,-12.79,45.27
61,Faya,67.06,68,20,14.99,18.39,42.45
62,Maragogi,81.77,76,77,10.47,-9.01,-35.22
63,Yangi Marg`ilon,62.6,20,98,6.93,40.43,71.72
64,Kapaa,71.82,94,90,14.99,22.08,-159.32
65,Carnarvon,77.0,78,84,17.22,-24.87,113.63
66,Nirmal,85.19,34,21,5.68,19.1,78.35
67,Khatanga,-26.59,98,48,8.14,71.97,102.5
68,Kumul,46.13,24,0,5.5,42.8,93.45
69,Luau,82.49,62,7,2.71,-10.71,22.22
70,Atuona,81.95,65,1,8.5,-9.8,-139.03
71,Upernavik,-19.03,82,4,8.79,72.79,-56.15
72,Lompoc,51.21,81,90,5.82,34.64,-120.46
73,Grand Gaube,77.23,83,90,13.29,-20.01,57.66
74,Kaitangata,46.99,73,100,1.01,-46.28,169.85
75,Klaksvík,44.6,75,100,17.22,62.23,-6.59
76,Havelock,54.63,66,20,9.17,34.88,-76.9
77,Dikson,-7.87,92,100,19.86,73.51,80.55
78,Camacha,61.56,59,75,13.87,33.08,-16.33
79,New Norfolk,49.68,81,69,4.7,-42.78,147.06
80,Constitución,66.65,47,0,6.82,-35.33,-72.42
81,Samarai,76.01,88,95,4.23,-10.62,150.67
82,Harper,87.35,64,100,6.85,4.38,-7.72
83,Mahébourg,77.56,83,90,7.54,-20.41,57.7
84,Lucea,84.6,58,20,21.92,18.45,-78.17
85,Hermanus,76.41,60,0,18.01,-34.42,19.23
86,Ostrovnoy,25.79,97,99,28.68,68.05,39.51
87,San Patricio,82.4,78,40,6.93,19.22,-104.7
88,Talnakh,-18.4,75,14,6.71,69.49,88.4
89,Sorong,72.41,94,0,2.66,-0.88,131.25
90,Jumla,34.07,68,20,5.59,29.27,82.18
91,Coihueco,68.0,49,76,8.05,-36.62,-71.83
92,Mananara,81.77,76,69,17.83,-16.17,49.77
93,Balabac,79.61,79,62,10.76,7.99,117.06
94,Kalabo,77.27,74,42,6.82,-14.97,22.68
95,Pimenteiras,72.23,97,100,5.12,-6.25,-41.42
96,Puerto Ayora,82.18,78,2,6.93,-0.74,-90.35
97,Saint Paul Harbor,30.2,86,75,3.36,57.79,-152.41
98,Birao,101.57,10,51,4.85,10.28,22.79
99,Puerto Baquerizo Moreno,82.4,74,20,5.82,-0.9,-89.6
100,Aksha,24.71,74,0,7.31,50.28,113.29
101,Taman',35.38,51,40,8.95,45.21,36.72
102,Mingyue,19.13,82,1,1.34,43.11,128.92
103,Nishihara,55.15,62,20,5.82,26.18,127.76
104,Pedregulho,78.89,69,0,8.16,-20.26,-47.48
105,Kawalu,71.69,92,97,2.3,-7.38,108.21
106,Hong Kong,69.21,77,20,13.87,22.29,114.16
107,Maunabo,78.19,65,40,14.99,18.01,-65.9
108,Chui,75.47,44,0,6.58,-33.7,-53.46
109,Black Diamond,34.12,84,1,3.49,47.31,-122.0
110,Rognan,37.08,55,75,21.92,67.1,15.39
111,Itakyry,97.25,31,2,5.46,-24.93,-55.22
112,Port Alfred,66.0,88,98,5.99,-33.59,26.89
113,Jalu,84.29,11,0,4.29,29.03,21.55
114,Huntington,45.09,81,90,3.36,38.42,-82.45
115,Avarua,82.4,83,100,13.87,-21.21,-159.78
116,Butaritari,83.57,77,87,14.54,3.07,172.79
117,Yellowknife,-9.4,63,5,11.41,62.46,-114.35
118,Lebu,67.73,49,100,9.73,-37.62,-73.65
119,Fare,82.67,75,51,10.65,-16.7,-151.02
120,Bredasdorp,70.32,46,44,27.51,-34.53,20.04
121,Carutapera,75.83,90,100,14.63,-1.2,-46.02
122,Aksay,37.65,34,53,4.47,47.26,39.87
123,Port Lincoln,70.97,43,60,10.18,-34.73,135.87
124,Bomi,84.65,74,100,9.95,7.25,-11.53
125,Yambio,92.75,34,41,3.6,4.57,28.4
126,Kavaratti,83.57,64,59,5.37,10.57,72.64
127,Tuatapere,44.01,89,3,1.01,-46.13,167.68
128,Arkhara,8.87,96,0,2.66,49.42,130.08
129,Severo-Kuril'sk,19.31,81,88,16.26,50.68,156.12
130,Envira,74.75,99,100,2.59,-7.3,-70.22
131,Otofuke,15.89,79,8,7.4,42.99,143.2
132,Fort Nelson,-0.4,77,20,2.24,58.81,-122.7
133,Nemuro,28.13,71,16,8.9,43.32,145.57
134,Lüderitz,75.2,60,0,12.75,-26.65,15.16
135,Hailar,24.89,89,91,13.67,49.2,119.7
136,Cayenne,89.6,59,75,10.29,4.93,-52.33
137,Hambantota,83.21,78,97,18.77,6.12,81.12
138,Grindavik,38.14,86,75,6.93,63.84,-22.43
139,George Town,85.05,83,20,4.7,5.41,100.34
140,Leh,18.77,42,100,1.54,34.17,77.58
141,San-Pédro,82.85,78,100,11.97,4.75,-6.64
142,Anadyr,28.2,86,100,29.08,64.75,177.48
143,Richards Bay,73.85,74,64,26.78,-28.78,32.04
144,Saint-François,60.19,51,99,3.36,46.42,3.91
145,Sechura,76.19,79,100,6.49,-5.56,-80.82
146,Buraidah,75.2,47,0,5.82,26.33,43.98
147,Alofi,80.6,88,100,5.82,-19.06,-169.92
148,Kattivākkam,84.11,74,20,11.41,13.22,80.32
149,Cabo San Lucas,69.44,68,20,2.24,22.89,-109.91
150,Berlevåg,21.13,79,67,32.21,70.86,29.09
151,Riyadh,78.8,29,0,4.7,24.69,46.72
152,‘Āhuimanu,72.37,100,75,6.93,21.44,-157.84
153,Saskylakh,-23.71,91,100,14.47,71.92,114.08
154,Kruisfontein,66.65,70,48,23.49,-34.0,24.73
155,East London,66.2,82,20,8.05,-33.02,27.91
156,Kyzyl-Suu,37.31,47,47,1.97,42.34,78.0
157,Kang,87.53,24,94,7.94,-23.68,22.79
158,Acapulco de Juárez,80.6,78,75,3.36,16.86,-99.89
159,Ponta do Sol,63.54,51,75,21.92,32.67,-17.1
160,Aktash,22.73,76,65,6.24,50.3,87.73
161,Limbe,89.6,70,40,5.82,4.02,9.21
162,San Cristobal,80.6,69,40,9.17,7.77,-72.22
163,Lubao,78.46,78,75,2.24,14.92,120.55
164,Illapel,72.41,36,0,8.01,-31.63,-71.17
165,Simao,67.01,35,41,5.28,22.79,100.97
166,Ubari,87.17,6,0,7.34,26.59,12.78
167,Sept-Îles,15.01,33,5,2.24,50.2,-66.38
168,Ponca City,45.39,100,90,6.93,36.71,-97.09
169,Inhambane,84.2,58,40,11.41,-23.86,35.38
170,Bendigo,57.0,65,15,2.39,-36.77,144.28
171,Río Gallegos,68.0,42,75,10.29,-51.62,-69.22
172,Bilibino,3.83,95,100,4.79,68.05,166.44
173,Kaberamaido,84.29,47,96,3.71,1.74,33.16
174,Goderich,35.51,51,100,1.99,43.75,-81.72
175,Mar del Plata,66.83,59,0,5.82,-38.0,-57.56
176,Lorengau,82.13,80,100,15.14,-2.02,147.27
177,Leer,104.81,9,0,6.22,8.3,30.14
178,Mount Isa,77.0,57,90,6.22,-20.73,139.5
179,Adrar,83.39,13,41,11.92,20.5,-10.07
180,Nexø,44.6,93,6,11.41,55.06,15.13
181,Okha,-5.53,99,90,8.97,53.57,142.95
182,Valleyview,11.21,93,0,3.67,55.07,-117.29
183,Winslow,42.8,70,1,12.75,35.02,-110.7
184,Dingle,74.03,84,0,10.47,11.0,122.67
185,Bambous Virieux,77.5,83,90,6.33,-20.34,57.76
186,Katsuura,40.32,41,0,16.11,35.13,140.3
187,Saint Anthony,33.96,80,90,8.05,45.02,-93.22
188,Alice Springs,64.4,34,0,8.61,-23.7,133.88
189,Meulaboh,79.97,89,100,11.56,4.14,96.13
190,Malangali,66.83,94,100,2.62,-8.57,34.85
191,Saint-Pierre,76.57,83,75,14.99,-21.34,55.48
192,Ephrata,43.92,45,1,13.87,40.18,-76.18
193,Flinders,59.49,93,77,4.7,-34.58,150.86
194,Salalah,78.8,61,75,8.05,17.02,54.09
195,Kloulklubed,80.6,78,75,5.82,7.04,134.26
196,Udachny,1.4,91,96,6.71,66.42,112.4
197,Aykhal,1.4,91,93,6.71,66.0,111.5
198,Tombouctou,93.47,5,3,3.6,20.0,-3.0
199,Port Macquarie,61.38,100,75,5.82,-31.43,152.92
200,Sørland,35.6,59,75,18.34,67.67,12.69
201,Cacheu,97.0,17,97,4.7,12.27,-16.17
202,Kouqian,22.01,78,62,5.95,43.64,126.46
203,Cayambe,62.6,82,75,6.93,0.05,-78.13
204,Boca do Acre,81.77,86,90,4.94,-8.75,-67.4
205,Amahai,82.13,76,18,7.45,-3.33,128.92
206,Vestmannaeyjar,41.0,80,40,17.22,63.44,-20.27
207,Waddān,77.45,23,0,9.93,29.16,16.14
208,Pevek,14.63,79,100,14.63,69.7,170.31
209,Sittwe,77.81,76,0,9.13,20.15,92.9
210,Dvinskoy,30.83,93,100,13.13,62.15,45.12
211,Simbahan,81.95,73,0,12.86,6.3,120.58
212,Black River,84.58,58,20,21.92,18.03,-77.85
213,Bethel,36.64,34,1,10.29,41.37,-73.41
214,Vilhena,82.4,69,75,9.17,-12.74,-60.15
215,Ust'-Kan,27.23,75,100,3.91,50.93,84.76
216,Ganzhou,55.49,77,100,1.88,28.82,115.43
217,Dongying,56.57,44,100,10.71,37.46,118.49
218,Wanning,73.13,90,81,7.85,18.8,110.4
219,Palatka,74.16,73,90,10.29,29.65,-81.64
220,Majene,76.19,89,100,4.41,-3.54,118.97
221,Haines Junction,11.75,73,100,3.94,60.75,-137.51
222,Saint George,51.1,62,1,9.17,37.1,-113.58
223,Olafsvik,34.25,95,100,13.09,64.89,-23.71
224,Kathu,82.4,69,20,3.36,7.92,98.33
225,San Jose,42.48,81,75,5.82,37.34,-121.89
226,Nyzhni Sirohozy,38.75,39,31,9.91,46.85,34.38
227,Hay River,1.4,77,20,6.33,60.82,-115.8
228,Vardø,21.69,79,37,32.21,70.37,31.11
229,Plettenberg Bay,69.17,71,22,23.13,-34.05,23.37
230,Mühlhausen,60.33,51,20,6.93,51.22,10.45
231,Tasiilaq,12.2,78,100,23.04,65.61,-37.64
232,Portland,36.59,69,75,9.17,45.52,-122.68
233,Bambuí,80.15,66,3,3.18,-20.01,-45.98
234,Mundo Nuevo (Ojo de Agua),75.83,69,2,3.27,18.7,-95.5
235,Yar-Sale,9.59,88,95,20.31,66.83,70.83
236,Jaguaquara,80.69,60,83,4.9,-13.53,-39.97
237,Salta,68.0,88,90,6.93,-24.79,-65.41
238,Presidencia Roque Sáenz Peña,84.29,55,76,5.06,-26.79,-60.44
239,Taiobeiras,74.03,78,100,5.61,-15.81,-42.23
240,Tautira,78.48,78,31,2.24,-17.73,-149.15
241,Acaraú,78.8,94,75,4.7,-2.89,-40.12
242,Winnemucca,31.35,92,1,6.93,40.97,-117.74
243,Vanimo,79.07,82,100,5.39,-2.67,141.3
244,Leshukonskoye,30.29,95,100,12.64,64.9,45.76
245,Labuhan,76.73,91,100,3.06,-6.88,112.21
246,Nyagan,17.33,84,0,12.37,62.14,65.39
247,Kaeo,59.52,94,100,11.99,-35.1,173.78
248,Makakilo City,72.36,100,75,6.93,21.35,-158.09
249,Bambanglipuro,76.37,87,96,2.59,-7.95,110.28
250,Faanui,82.49,73,33,9.82,-16.48,-151.75
251,Derzhavīnsk,36.77,100,100,5.35,51.1,66.32
252,Kirakira,77.99,84,100,4.07,-10.45,161.92
253,Tshela,81.41,89,80,3.91,-4.98,12.93
254,Usinsk,24.71,94,100,22.53,65.99,57.53
255,Navrongo,104.81,15,41,7.99,10.9,-1.09
256,Inuvik,11.26,85,90,6.93,68.35,-133.72
257,Yelizovo,28.4,54,40,17.9,53.19,158.38
258,Zhangaözen,43.43,74,100,28.39,43.3,52.8
259,Andra,15.71,87,0,9.51,62.51,65.89
260,Ibrā’,74.39,42,0,16.64,22.69,58.53
261,Avera,55.13,76,90,5.82,33.19,-82.53
262,Enshi,45.59,81,98,3.11,30.3,109.48
263,Quryq,42.89,84,100,27.76,43.2,51.65
264,Solikamsk,17.69,83,0,1.23,59.62,56.77
265,Ancud,60.8,72,75,8.05,-41.87,-73.82
266,Cabedelo,86.0,70,75,3.36,-6.98,-34.83
267,Mabaruma,89.87,48,41,4.45,8.2,-59.78
268,Najrān,82.4,24,5,6.93,17.49,44.13
269,Chumikan,14.45,79,0,11.18,54.72,135.31
270,Isangel,84.2,83,75,6.93,-19.55,169.27
271,Beirut,58.98,88,40,8.05,33.89,35.49
272,Souillac,77.56,83,90,7.54,-20.52,57.52
273,Chapais,5.0,65,20,10.29,49.78,-74.85
274,Hasaki,34.52,59,20,2.24,35.73,140.83
275,Belyy Yar,39.2,55,43,15.66,53.6,91.39
276,Hualmay,78.17,64,100,6.76,-11.1,-77.61
277,Vacaville,40.87,86,90,4.7,38.36,-121.99
278,Iqaluit,1.2,70,90,6.93,63.75,-68.51
279,Manono,81.95,77,90,1.95,-7.3,27.42
280,Esperance,62.6,93,40,5.82,-33.87,121.9
281,Valparaíso,59.76,87,90,9.17,-33.04,-71.63
282,La Ronge,12.2,78,90,12.75,55.1,-105.28
283,Departamento de Maldonado,69.42,72,40,11.41,-34.67,-54.92
284,North Bend,36.25,93,1,5.82,43.41,-124.22
285,Pundaguitan,80.69,73,0,3.96,6.37,126.17
286,Teahupoo,78.48,78,18,2.24,-17.83,-149.27
287,Yerbogachën,23.09,93,100,5.75,61.28,108.01
288,Lagoa,61.97,72,0,8.75,39.05,-27.98
289,Mehamn,23.97,92,90,33.33,71.04,27.85
290,Esna,85.37,18,0,11.95,25.29,32.55
291,Matola,79.32,69,75,19.46,-25.96,32.46
292,Oranjemund,74.39,52,0,10.98,-28.55,16.43
293,Mareeba,72.82,78,10,6.93,-17.0,145.43
294,Ossora,29.75,91,100,16.64,59.24,163.07
295,Beringovskiy,24.53,94,100,14.36,63.05,179.32
296,Rosario,78.31,57,0,1.99,-32.95,-60.64
297,Boguchany,31.19,84,100,15.05,58.38,97.45
298,Gallup,37.63,59,1,9.17,35.53,-108.74
299,Alyangula,75.2,94,0,1.12,-13.85,136.42
300,Saint-Leu,76.46,83,75,14.99,-21.15,55.28
301,Zabid,82.85,57,68,5.93,14.2,43.32
302,Jining,51.53,63,100,7.65,35.41,116.58
303,Den Helder,50.79,81,75,9.17,52.96,4.76
304,North Platte,35.98,90,90,3.36,41.12,-100.77
305,Porto-Novo,89.6,70,40,12.75,6.5,2.6
306,Kolokani,101.75,8,0,5.93,13.57,-8.03
307,Caucayá,88.79,55,0,3.91,-0.19,-74.78
308,Broken Hill,66.2,37,0,10.29,-31.95,141.43
309,Ejura,101.21,26,69,3.62,7.39,-1.36
310,Nekā,53.6,93,90,11.41,36.65,53.3
311,Te Anau,39.47,78,1,4.43,-45.42,167.72
312,Great Yarmouth,50.09,66,75,8.05,52.61,1.73
313,Novikovo,33.71,56,0,5.84,51.15,37.89
314,Gorgan,57.2,87,40,16.11,36.84,54.43
315,Cookeville,44.55,93,90,3.31,36.16,-85.5
316,São Filipe,70.61,76,68,20.2,14.9,-24.5
317,Capitão Poço,73.49,95,100,3.27,-1.75,-47.06
318,Hisor,64.4,25,100,6.71,38.52,68.55
319,Eston,5.02,71,20,10.29,51.15,-108.75
320,Ilulissat,-7.6,57,20,13.87,69.22,-51.1
321,Nísia Floresta,86.95,66,75,8.05,-6.09,-35.21
322,Huanren,21.47,83,91,4.94,41.26,125.37
323,Panguipulli,64.4,68,75,3.36,-39.63,-72.33
324,Camacupa,75.11,72,3,4.88,-12.02,17.48
325,Salinópolis,76.91,90,100,10.67,-0.61,-47.36
326,Oudtshoorn,66.2,72,20,24.16,-33.59,22.2
327,Tessalit,99.23,7,20,20.24,20.2,1.01
328,Kungurtug,21.83,70,99,4.99,50.6,97.52
329,Pacific Grove,43.84,100,75,10.36,36.62,-121.92
330,Chunhuhub,82.31,59,25,6.06,19.55,-88.68
331,Gillette,18.66,100,90,8.05,44.29,-105.5
332,Mormugao,82.4,78,20,8.05,15.4,73.8
333,Moerai,80.69,70,85,9.53,-22.43,-151.33
334,Dhandhuka,78.53,22,96,15.3,22.37,71.98
335,Mount Gambier,53.6,93,44,9.17,-37.83,140.77
336,Micomeseng,79.43,88,96,4.92,2.15,10.62
337,Yichun,10.85,85,0,3.56,47.7,128.9
338,San Quintín,57.11,71,65,5.39,30.48,-115.95
339,Hawkesbury,21.22,52,75,4.7,45.6,-74.62
340,Petatlán,80.6,74,40,4.47,17.52,-101.27
341,Craig,31.68,68,1,5.59,40.52,-107.55
342,Logroño,45.16,93,90,9.17,42.47,-2.45
343,Biloela,63.95,74,0,13.85,-24.42,150.5
344,Tilichiki,32.63,98,100,24.65,60.47,166.1
345,Leningradskiy,12.29,69,100,8.16,69.38,178.42
346,Severodvinsk,35.6,93,90,8.95,64.56,39.83
347,Äänekoski,35.78,43,33,12.75,62.69,25.82
348,Moss Vale,58.17,93,96,4.7,-34.55,150.38
349,Bud,42.28,75,90,3.36,39.45,-86.18
350,Manavālakurichi,86.0,70,20,4.7,8.13,77.3
351,Muriti,77.0,69,20,11.41,-1.98,32.92
352,Chiclana,77.27,30,0,12.88,-35.73,-61.75
353,Dongsheng,40.55,29,0,10.29,39.82,109.98
354,Cidreira,72.77,89,100,16.69,-30.18,-50.21
355,Nouadhibou,73.4,53,59,17.22,20.93,-17.03
356,Caravelas,81.41,71,100,5.66,-17.71,-39.25
357,Champasak,81.95,59,61,3.04,14.75,106.0
358,Nanortalik,17.87,56,0,40.85,60.14,-45.24
359,Kelowna,17.15,78,1,4.7,49.88,-119.49
360,Kahului,67.64,88,1,3.36,20.89,-156.47
361,Karratha,85.37,77,0,17.31,-20.74,116.85
362,Neiafu,82.4,83,75,8.05,-18.65,-173.98
363,Huarmey,81.95,52,77,6.51,-10.07,-78.15
364,Sydney,60.06,88,75,14.99,-33.87,151.21
365,Alzamay,35.87,69,61,17.72,55.56,98.66
366,Bathsheba,84.2,62,20,14.99,13.22,-59.52
367,Antofagasta,71.8,64,20,12.75,-23.65,-70.4
368,Pryazha,35.6,91,75,8.95,61.69,33.62
369,Bowmore,52.14,57,90,4.7,34.94,-79.3
370,Brewster,36.91,34,5,6.2,41.4,-73.62
371,Shingū,41.99,56,0,12.17,33.73,135.98
372,Westerland,46.8,75,75,11.41,54.91,8.3
373,Yadrin,31.19,63,0,6.08,55.94,46.21
374,Plymouth,36.01,47,20,9.17,41.83,-70.83
375,Okhotsk,-1.57,71,0,13.56,59.38,143.3
376,Huasahuasi,49.19,76,100,7.65,-11.32,-75.62
377,Danbury,36.46,34,1,10.29,41.39,-73.45
378,Aklavik,11.52,85,90,9.17,68.22,-135.01
379,Pisco,74.43,30,20,5.82,-13.7,-76.22
380,Gari,21.47,81,0,5.32,59.43,62.35
381,Rock Sound,72.59,78,2,14.23,24.9,-76.2
382,Poum,80.33,79,0,15.14,-20.23,164.02
383,Lubango,68.0,94,75,10.29,-14.92,13.49
384,Bubaque,82.67,51,100,11.03,11.28,-15.83
385,Vredendal,99.77,13,0,8.77,-31.67,18.5
386,São Miguel do Araguaia,84.65,73,74,2.59,-13.28,-50.16
387,Alakurtti,25.0,57,41,5.01,66.97,30.35
388,Mezhdurechensk,31.91,87,100,10.65,53.69,88.06
389,Gizo Government Station,77.45,84,100,1.68,-8.1,156.84
390,Mossamedes,78.8,78,20,8.05,-15.2,12.15
391,Marsh Harbour,73.67,74,0,10.09,26.54,-77.06
392,Caraquet,21.2,48,1,4.7,47.79,-64.94
393,Cherskiy,11.93,90,100,7.49,68.75,161.3
394,Weyburn,12.99,74,100,15.01,49.67,-103.85
395,Russkiy,23.0,79,0,4.47,43.01,131.86
396,Susanville,29.19,100,90,2.75,40.42,-120.65
397,Mersing,82.4,78,8,6.93,2.43,103.84
398,San Policarpo,78.71,81,0,9.37,12.18,125.51
399,Florø,40.75,80,75,26.4,61.6,5.03
400,Lakes Entrance,50.0,95,0,12.77,-37.88,147.98
401,Khāsh,64.31,25,0,8.19,28.22,61.22
402,Vestmanna,44.6,75,100,17.22,62.16,-7.17
403,Alta Floresta,82.31,81,100,1.68,-9.88,-56.09
404,Takoradze,87.89,66,65,8.37,4.88,-1.76
405,Kyshtovka,22.73,88,81,8.55,56.55,76.63
406,Mayo,48.7,39,1,6.93,38.89,-76.51
407,Kavieng,81.95,80,100,11.88,-2.57,150.8
408,Severnyy,33.8,47,0,6.71,50.68,36.55
409,Half Moon Bay,42.13,81,40,12.75,37.46,-122.43
410,Bushehr,70.93,64,40,16.11,28.97,50.84
411,Ambon City,77.0,88,40,8.05,-3.7,128.18
412,Clyde River,-11.2,57,75,11.41,70.47,-68.59
413,Tazovsky,-9.13,78,37,11.39,67.47,78.7
414,Port Keats,82.67,74,100,5.55,-14.25,129.55
415,Lata,55.6,58,75,26.4,40.16,-8.33
416,Key Biscayne,80.19,51,40,11.41,25.69,-80.16
417,Bosaso,79.43,83,45,6.82,11.28,49.18
418,Laas,50.99,56,0,14.99,46.62,10.7
419,Nelson Bay,60.73,93,40,5.82,-32.72,152.15
420,San Rafael,77.27,29,0,16.35,-34.62,-68.33
421,Scarborough,50.88,62,25,11.41,54.28,-0.4
422,Copiapó,64.4,72,90,2.24,-27.37,-70.33
423,Poconé,85.73,75,34,5.82,-16.26,-56.62
424,Ginir,72.41,53,100,5.5,7.13,40.7
425,Bilma,90.59,3,21,11.16,18.69,12.92
426,Geraldton,70.93,68,40,10.29,-28.77,114.6
427,Alexandria,67.73,53,0,10.31,31.22,29.96
428,College,25.32,73,75,13.87,64.86,-147.8
429,Puerto Madryn,82.85,15,0,16.24,-42.77,-65.04
430,Montepuez,78.17,87,44,4.72,-13.13,39.0
431,Amuntai,74.57,95,89,2.3,-2.42,115.25
432,Salamiyah,62.33,66,77,15.03,35.01,37.05
433,Suntar,26.51,91,100,7.47,62.14,117.63
434,Port Blair,83.57,75,0,9.78,11.67,92.75
435,Kupang,77.0,100,75,5.82,-10.17,123.58
436,Eldorado,95.81,39,12,3.33,-23.79,-54.28
437,Bengkulu,75.11,92,100,4.12,-3.8,102.27
438,Dawlatabad,67.73,42,100,2.21,36.41,64.91
439,Lusambo,86.27,55,35,4.23,-4.97,23.45
440,Nantucket,36.01,51,75,13.87,41.28,-70.1
441,Hohhot,46.4,20,0,8.95,40.81,111.65
442,Lloydminster,10.4,66,90,11.41,53.28,-110.0
443,Castellammare del Golfo,57.67,72,86,16.11,38.02,12.89
444,Turukhansk,-10.93,90,0,10.25,65.82,87.98
445,Beloha,76.73,75,0,16.82,-25.17,45.05
446,Saldanha,91.4,24,0,17.22,-33.01,17.94
447,Xichang,38.39,93,78,6.82,27.9,102.26
448,Gogrial,104.09,10,0,7.67,8.53,28.1
449,Opuwo,84.83,39,99,9.66,-18.06,13.84
450,Kamenka,35.01,79,31,3.0,51.32,42.77
451,Parfino,39.65,51,100,8.28,57.97,31.65
452,Fukuechō,44.6,52,97,4.7,32.69,128.84
453,Ryōtsu-minato,37.4,59,90,4.7,38.08,138.43
454,Aitape,77.81,89,100,10.22,-3.14,142.35
455,Santa Cruz de la Sierra,73.4,94,90,4.65,-17.8,-63.17
456,Gamba,84.65,70,78,9.4,-2.65,10.0
457,Pringsewu,73.67,96,100,1.59,-5.36,104.97
458,Lesnoy,29.03,93,90,8.01,57.62,63.08
459,Mayumba,83.75,79,100,10.85,-3.43,10.66
460,Stornoway,44.6,93,90,35.57,58.21,-6.39
461,Araouane,94.55,5,0,6.02,18.9,-3.53
462,Preobrazheniye,24.53,71,0,4.92,42.9,133.91
463,Slave Lake,3.2,71,1,3.36,55.28,-114.77
464,Kazachinskoye,32.45,93,100,19.17,57.7,93.28
465,Los Llanos de Aridane,64.47,64,40,17.22,28.66,-17.92
466,Juegang,46.67,66,100,10.76,32.32,121.19
467,Northam,50.68,62,20,5.82,51.03,-4.22
468,Vila,55.42,66,40,18.34,42.03,-8.16
469,Nizhniy Mamon,34.61,64,0,6.35,50.19,40.51
470,Orange,54.41,76,90,4.7,33.7,-117.77
471,Am Timan,105.35,9,76,4.09,11.03,20.28
472,Corn Island,79.61,79,4,15.64,12.17,-83.04
473,Vostok,9.59,96,91,5.7,46.49,135.88
474,Atar,84.11,11,34,12.97,20.52,-13.05
475,Mitchell,35.6,82,90,3.36,43.71,-98.03
476,Sola,80.6,94,90,18.1,-13.88,167.55
